,,,,,,,,,,,,,,,,,,,
,Test Case 수,,TC Total 수,Pass,Fail,Block,NI,Incomplete,실 시나리오 카운트,,,,,,,,,,
,18,홈,"Spotlight
(섹션 서브탭)",Top 섹션,카드배너,,,,"1. Top 섹션 > 카드배너 노출 확인
exc) 카드배너 영역 가려진 상태라면 노출될 때까지 스크롤 후 확인
2. 카드배너 클릭
3. 상단네비바 [<] 또는 단말 백버튼 클릭","1. 카드배너 설정에 맞게 정상 노출된다.
ㄴ 이미지,타이틀, BM/신작/연령/이벤트 뱃지
2. 카드배너 랜딩타겟으로 이동된다.
3. 이전 화면으로 돌아온다. (홈)",,공통,W,P0,,,,,
,19,홈,"Spotlight
(섹션 서브탭)",라인배너 섹션,,,,,"1. 라인배너 섹션 노출 확인
2. 라인배너 클릭
3. 상단네비바 [<] 또는 단말 백버튼 클릭","1. 라인배너 이미지 및 배너 텍스트 노출된다.
2. 설정된 랜딩타겟으로 이동된다.
3. 이전 화면으로 돌아온다. (홈)",,공통,W,P0,,,,,
,20,홈,"Spotlight
(섹션 서브탭)",최근 본 작품 섹션,,,,,1. 섹션 노출 확인,1. 최근 본 작품 노출된다.,,공통,W,P0,,,,,
,21,홈,"Spotlight
(섹션 서브탭)",배너 섹션,,,,,"1. 섹션 노출 확인
2. 배너 클릭
3. 상단네비바 [<] 또는 단말 백버튼 클릭","1. 운영툴에 세팅된 배너 섹션 영역이 노출되고 배너 설정에 맞게 정상 노출된다.
ㄴ 이미지,타이틀, BM/신작/연령/이벤트 뱃지
2. 배너 랜딩타겟으로 이동된다.
3. 홈화면으로 돌아온다.",,공통,W,P0,,,,,
,22,홈,"Spotlight
(섹션 서브탭)",랭킹 섹션,,,,,"1. 섹션메뉴 노출 확인
2. 더보기(>) 영역 클릭
3. 상단네비바 [<] 또는 단말 백버튼 클릭","1. 각 섹션 메뉴 작품 노출된다.
2. 랭킹 고정 랜딩리스트로 이동된다.
3. 홈화면으로 돌아온다.",,공통,W,P0,,,,,
,23,홈,"Spotlight
(섹션 서브탭)",테마 섹션,,,,,"1. 섹션 노출 확인
2. 더보기(>) 영역 클릭
3. 상단네비바 [<] 또는 단말 백버튼 클릭","1. 운영툴에 세팅된 배너 섹션 영역이 노출되고 운영 중인 카드뷰가 노출된다.
2. 섹션 랜딩리스트 진입되고, 전체 작품 노출된다.
3. 홈화면으로 돌아온다.",,공통,W,P0,,,,,
,24,홈,"Daily
(요일연재 랜딩 서브탭)",,,,,,"1. {Daily} 서브탭 클릭
2. 상단 대분류 카테고리 필터 노출 확인
3. 작품 리스트 확인
4. 요일별 클릭
5. 대분류 카테고리 필터 > Novels 클릭","1. Daily 서브탭이 활성화되며 디바이스 시간(요일)에 맞는 요일이 디폴트 선택되어 노출된다. 
2. Comics/Novels 대분류 필터 노출되며 Comics 탭이 디폴트로 활성화되어 있다.
3. Comic 작품이 활성화된 연재 요일에 맞게 노출된다.
4. 변경된 요일 탭에 맞는 작품이 노출된다.
5. Novels 탭이 활성화되며 작품 리스트에 현재 선택된 요일에 해당하는 Novle 작품들이 노출된다.",,공통,W,P0,,,,,
,25,홈,"Free Access
(섹션 서브탭)",,,,,,1. Home > Free Access 서브탭 클릭,"1. Free Access 서브탭에 설정된 빅배너가 노출된다.
2. Free Access 서브탭에 설정된 카드배너가 노출된다.
3. Free Access 서브탭에 설정된 섹션이 노출된다.",,공통,W,P0,,,,,
,26,홈,"New
(신작 랜딩 서브탭)",,,,,,"1. {New} 서브탭 클릭
exc) 서브탭 영역 가려진 경우 노출될 때까지 스크롤 후 클릭
2. 상단 대분류 카테고리 필터 노출 확인
3. 작품 리스트 확인
4. 대분류 카테고리 필터 > Novels 클릭","1. New 서브탭이 활성화된다.
2. Comics/Novels 대분류 필터 노출되며 Comics 탭이 디폴트로 활성화되어 있다.
3. Comic 작품들의 신작 리스트가 노출된다.
ㄴ 투데이 ~ 한 달 전, 날짜별 해당일에 등록된 신작
ㄴ 해당일에 신작 없을 경우 날짜 미노출
4. Novels 탭이 활성화되며 Novel에 해당하는 작품들만 노출된다.",,공통,W,P0,,,,,
,27,홈,"Popular
(랭킹 랜딩 서브탭)",,,,,,"1. {Popular} 서브탭 클릭
exc) 서브탭 영역 가려진 경우 노출될 때까지 스크롤 후 클릭
2. 상단 대분류 카테고리 필터 노출 확인
3. 작품 리스트 확인
4. 대분류 카테고리 필터 > Novels 클릭","1. Popular 서브탭이 활성화된다.
2. Comics/Novels 대분류 필터 노출되며 Comics 탭이 디폴트로 활성화되어 있다.
3. Comic 작품이 300위까지 노출된다.
4. Novels 탭이 활성화되며 Novel에 해당하는 작품으로 노출된다.",,공통,W,P0,,,,,
,28,홈,"WUF
(섹션 서브탭)",,,,,,1. Home > WUF 서브탭 클릭,"1. WUF 서브탭에 설정된 빅배너가 노출된다.
2. WUF 서브탭에 설정된 카드배너가 노출된다.
3. WUF 서브탭에 설정된 섹션이 노출된다.",,공통,W,P1,,,,,
